Domain,Model_Configuration,Actual_Label,Predicted_Label,Count
Book Reviews,BERT_Feature_Extractor__LR,negative,negative,3771
Book Reviews,BERT_Feature_Extractor__LR,negative,neutral,1149
Book Reviews,BERT_Feature_Extractor__LR,negative,positive,372
Book Reviews,BERT_Feature_Extractor__LR,neutral,negative,921
Book Reviews,BERT_Feature_Extractor__LR,neutral,neutral,2060
Book Reviews,BERT_Feature_Extractor__LR,neutral,positive,833
Book Reviews,BERT_Feature_Extractor__LR,positive,negative,2868
Book Reviews,BERT_Feature_Extractor__LR,positive,neutral,6350
Book Reviews,BERT_Feature_Extractor__LR,positive,positive,26676
Book Reviews,BERT_Full_FT,negative,negative,4130
Book Reviews,BERT_Full_FT,negative,neutral,679
Book Reviews,BERT_Full_FT,negative,positive,483
Book Reviews,BERT_Full_FT,neutral,negative,620
Book Reviews,BERT_Full_FT,neutral,neutral,1839
Book Reviews,BERT_Full_FT,neutral,positive,1355
Book Reviews,BERT_Full_FT,positive,negative,295
Book Reviews,BERT_Full_FT,positive,neutral,857
Book Reviews,BERT_Full_FT,positive,positive,34742
Book Reviews,BERT_LoRA_FT,negative,negative,3736
Book Reviews,BERT_LoRA_FT,negative,neutral,526
Book Reviews,BERT_LoRA_FT,negative,positive,1030
Book Reviews,BERT_LoRA_FT,neutral,negative,724
Book Reviews,BERT_LoRA_FT,neutral,neutral,1029
Book Reviews,BERT_LoRA_FT,neutral,positive,2061
Book Reviews,BERT_LoRA_FT,positive,negative,582
Book Reviews,BERT_LoRA_FT,positive,neutral,532
Book Reviews,BERT_LoRA_FT,positive,positive,34780
Book Reviews,BiLSTM (GloVe_Emb),negative,negative,3787
Book Reviews,BiLSTM (GloVe_Emb),negative,neutral,484
Book Reviews,BiLSTM (GloVe_Emb),negative,positive,1021
Book Reviews,BiLSTM (GloVe_Emb),neutral,negative,782
Book Reviews,BiLSTM (GloVe_Emb),neutral,neutral,1102
Book Reviews,BiLSTM (GloVe_Emb),neutral,positive,1930
Book Reviews,BiLSTM (GloVe_Emb),positive,negative,534
Book Reviews,BiLSTM (GloVe_Emb),positive,neutral,649
Book Reviews,BiLSTM (GloVe_Emb),positive,positive,34711
Book Reviews,BiLSTM (Learned_Emb),negative,negative,3130
Book Reviews,BiLSTM (Learned_Emb),negative,neutral,374
Book Reviews,BiLSTM (Learned_Emb),negative,positive,1788
Book Reviews,BiLSTM (Learned_Emb),neutral,negative,651
Book Reviews,BiLSTM (Learned_Emb),neutral,neutral,440
Book Reviews,BiLSTM (Learned_Emb),neutral,positive,2723
Book Reviews,BiLSTM (Learned_Emb),positive,negative,322
Book Reviews,BiLSTM (Learned_Emb),positive,neutral,172
Book Reviews,BiLSTM (Learned_Emb),positive,positive,35400
Book Reviews,CNN-LSTM (GloVe_Emb),negative,negative,3494
Book Reviews,CNN-LSTM (GloVe_Emb),negative,neutral,596
Book Reviews,CNN-LSTM (GloVe_Emb),negative,positive,1202
Book Reviews,CNN-LSTM (GloVe_Emb),neutral,negative,600
Book Reviews,CNN-LSTM (GloVe_Emb),neutral,neutral,1092
Book Reviews,CNN-LSTM (GloVe_Emb),neutral,positive,2122
Book Reviews,CNN-LSTM (GloVe_Emb),positive,negative,387
